Id,Name,ShortDetail,LongDetail,RegularPrice,OfferPrice,Image,URL
1,Áo giữ nhiệt Vicci cổ 3cm màu trắng,"<ul><li>Chất liệu vải Cotton</li><li>Áo dáng ôm, cổ 3cm, tay dài</li><li>Xuất xứ: Việt Nam</li></ul>","<p>Áo giữ nhiệt Vicci cổ 3cm màu trắng được may từ sợi vải Cotton đặc biệt, có khả năng chuyển đổi hơi nước thành năng lượng nhiệt, giữ ấm cơ thể tốt, không bai dão khi giặt. Sản phẩm được thiết kế đơn giản, đường chỉ may tỉ mỉ, tinh tế, bề mặt vải êm mềm mang đến cho bạn cảm giác thoải mái tối đa.</p><p>Hướng dẫn bảo quản</p><ul><li>Giặt với nước ở nhiệt độ thường (30 độ C)</li><li>Tẩy thuốc không chứa Clo</li><li>Phơi thường không sấy, không rũ vải</li><li>Sấy thường ở nhiệt độ thấp</li><li>Ủi thường ở nhiệt độ thấp (110 độ C)</li></ul><p>Thông tin thương hiệu</p><p>Vicci là thương hiệu thời trang chuyên thiết kế và sản xuất các sản phẩm thời trang nam nữ. Với chất lượng cao cùng mẫu mã đa dạng, thời trang Vicci đang ngày càng có chỗ đứng vững chắc trên thị thường Việt Nam. Vicci cam kết không ngừng sáng tạo, đi trước đón đầu, đáp ứng nhu cầu thị trường và làm hài lòng khách hàng.</p>",169000,89000,https://media-ak.static-adayroi.com/762_1100/90/h07/h38/15592835973150.jpg,https://www.adayroi.com/ao-giu-nhiet-vicci-co-3cm-mau-trang-p-518156?offer=518156_M6J
2,Áo giữ nhiệt Vicci cổ 3cm màu xám,"<ul><li>Được làm từ sợi vải đặc biệt, có khả năng giữ nhiệt tốt</li><li>Bề mặt vải mềm, không bai dão</li><li>Thiết kế cổ cao 3cm, tay dài</li><li>Xuất xứ: Việt Nam</li><li>Size người mẫu mặc: M</li><li>Số đo người mẫu: 92 - 61 - 90 - 176 (cm)</li></ul>","<p><strong>Áo gi</strong><strong>ữ nhiệt Vicci </strong><strong>cổ 3cm </strong><strong>màu </strong><strong>xám</strong> được may từ sợi vải đặc biệt có khả năng chuyển đổi hơi nước thành năng lượng nhiệt, tầng không khí giữa các sợi vải giúp nhiệt không bị thoát ra ngoài, giữ ấm cơ thể tốt, không bai dão khi giặt. Sản phẩm được thiết kế đơn giản, đường chỉ may tỉ mỉ, tinh tế, bề mặt vải êm mềm mang đến cho bạn cảm giác thoải mái tối đa.</p><p><strong>H</strong><strong>ướng dẫn </strong><strong>bảo quản</strong></p><ul><li>Giặt với nước ở nhiệt độ thường (30 độ C)</li><li>Tẩy thuốc không chứa Clo</li><li>Phơi thường không sấy, không rũ vải</li><li>Sấy thường ở nhiệt độ thấp</li><li>Ủi thường ở nhiệt độ thấp (110 độ C)</li></ul><p><strong>Thông tin thương hiệu</strong></p><p>Vicci là thương hiệu thời trang chuyên thiết kế và sản xuất các sản phẩm thời trang nam nữ. Với chất lượng cao cùng mẫu mã đa dạng, thời trang Vicci đang ngày càng có chỗ đứng vững chắc trên thị thường Việt Nam. Vicci cam kết không ngừng sáng tạo, đi trước đón đầu, đáp ứng nhu cầu thị trường và làm hài lòng khách hàng.</p>",169000,89000,https://media-ak.static-adayroi.com/762_1100/90/images/h88/h3b/14977614643230.jpg,https://www.adayroi.com/ao-giu-nhiet-vicci-co-3cm-mau-xam-p-1352214?offer=1352214_M6J
3,Áo giữ nhiệt Vicci cổ 3cm màu xanh rêu,"<ul><li>Được làm từ sợi vải đặc biệt, có khả năng giữ nhiệt tốt</li><li>Bề mặt vải mềm, không bai dão</li><li>Thiết kế cổ cao 3cm, tay dài</li><li>Xuất xứ: Việt Nam</li><li>Size người mẫu mặc: M</li><li>Số đo người mẫu: 92 - 61 - 90 - 176 (cm)</li></ul>","<p><strong>Áo gi</strong><strong>ữ nhiệt Vicci </strong><strong>cổ 3cm </strong><strong>màu </strong><strong>xanh rêu</strong> được may từ sợi vải đặc biệt có khả năng chuyển đổi hơi nước thành năng lượng nhiệt, tầng không khí giữa các sợi vải giúp nhiệt không bị thoát ra ngoài, giữ ấm cơ thể tốt, không bai dão khi giặt. Sản phẩm được thiết kế đơn giản, đường chỉ may tỉ mỉ, tinh tế, bề mặt vải êm mềm mang đến cho bạn cảm giác thoải mái tối đa.</p><p><strong>H</strong><strong>ướng dẫn </strong><strong>bảo quản</strong></p><ul><li>Giặt với nước ở nhiệt độ thường (30 độ C)</li><li>Tẩy thuốc không chứa Clo</li><li>Phơi thường không sấy, không rũ vải</li><li>Sấy thường ở nhiệt độ thấp</li><li>Ủi thường ở nhiệt độ thấp (110 độ C)</li></ul><p><strong>Thông tin thương hiệu</strong></p><p>Vicci là thương hiệu thời trang chuyên thiết kế và sản xuất các sản phẩm thời trang nam nữ. Với chất lượng cao cùng mẫu mã đa dạng, thời trang Vicci đang ngày càng có chỗ đứng vững chắc trên thị thường Việt Nam. Vicci cam kết không ngừng sáng tạo, đi trước đón đầu, đáp ứng nhu cầu thị trường và làm hài lòng khách hàng.</p>",169000,89000,https://media-ak.static-adayroi.com/762_1100/90/images/hec/ha9/14977615495198.jpg,https://www.adayroi.com/ao-giu-nhiet-vicci-co-3cm-mau-xanh-reu-p-1352224?offer=1352224_M6J
4,Áo kiểu Mango 23015631 cổ tròn tay lỡ phồng màu vàng - Hàng chính hãng,"<ul><li>Thành phần vải: 100% Cotton</li><li>Thiết kế cổ tròn, tay phồng bo ống tay</li><li>Form suông nhẹ thoải mái</li><li>Đường may chắc chắn, tỉ mỉ</li><li>Xuất xứ: Việt Nam, Ấn Độ, Cambodia,.. (Xuất xứ khác nhau tùy theo từng lô hàng)</li></ul>","<p><strong>Áo kiểu Mango 23015631 cổ tròn tay lỡ phồng màu vàng</strong> với thiết kế kiểu dáng và màu sắc thời trang, mang đến cho bạn nữ sự trẻ trung, thanh lịch cũng như dễ dàng phối cùng các trang phục. Bên cạnh đó, áo được may từ chất liệu vải cao cấp, đường may chắc chắn và tỉ mỉ không chỉ đem lại sự thoải mái và dễ chịu khi mặc mà còn giúp sản phẩm có độ bền cao.</p><p><strong>Hướng dẫn bảo quản</strong></p><ul><li>Giặt máy ở nhiệt độ tối đa 30 độ C</li><li>Không được tẩy</li><li>Ủi ở nhiệt độ tối đa 110 độ C</li><li>Không được giặt khô</li><li>Không được sấy khô</li></ul><p><strong>Thông tin thương hiệu</strong></p><p>Thương hiệu Mango được hai anh em Isak Andic và Nahman Andic thành lập vào năm 1984 với cửa hàng đầu tiên đặt tại Barcelona’s Paseo de Gracia, Tây Ban Nha. Năm 1992, Mango có 100 cửa hiệu tại Tây Ban Nha và khai trương 2 cửa hiệu đầu tiên tại Bồ Đào Nha. Năm 1995, thương hiệu lần đầu tiên ra mắt website online và hệ thống bán quần áo trực tuyến. Đến năm 1997, Mango có cửa hàng tại kinh đô thời trang Paris, Pháp. Hiện tại, Mango có tổng cộng 12,200 nhân viên với hơn 2000 cửa hiệu trên toàn thế giới. Chính thức du nhập vào Việt Nam năm 2004, Mango nhanh chóng mang đến làn gió mới với xu hướng thời trang năng động, hiện đại và cá tính. Đây là thương hiệu tầm trung rất được yêu thích. Ngoài quần áo, giày dép, nước hoa… Mango còn phát triển dòng sản phẩm phụ kiện thời trang như túi xách, ví, kính mát, đồng hồ…</p>",299000,0,https://media-ak.static-adayroi.com/762_1100/90/hf6/hd7/15672500191262.jpg,https://www.adayroi.com/ao-kieu-mango-23015631-co-tron-tay-lo-phong-mau-vang-hang-chinh-hang-p-733617?offer=733617_SNG
5,Áo polo Colo CL1606778 màu trắng,"<ul><li>Chất liệu vải Spandex cao cấp </li><li>Thiết kế năng động và khỏe khoắn </li><li>Cổ bẻ 3 nút cài, tay ngắn trẻ trung </li><li>Đường may tỉ mỉ, chắc chắn </li><li>Xuất xứ Việt Nam </li><li>Size mẫu mặc: M. Số đo người mẫu: 78 - 62 - 89 - 163 (cm) </li></ul>","<div><p><strong>Hướng dẫn bảo quản</strong></p><ul><li>Giặt bằng nước ấm dưới 30 độ C </li><li>Không dùng bột giặt có chất tẩy mạnh </li><li>Phơi nơi thoáng mát </li><li>Có thể sấy khô </li><li>Ủi ở nhiệt độ trung bình </li><li>Không ủi trực tiếp lên hình in </li></ul><p><strong>Thông tin thương hiệu</strong></p><p>Thời trang Colo cung cấp đến các đối tác và người tiêu dùng những sản phẩm thời trang đẹp, chất lượng, ký kết hợp đồng thiết kế mẫu theo yêu cầu, thêu logo quảng cáo cho các Công ty, xí nghiệp, may đồng phục... Các sản phẩm của Colo rất đa dạng từ áo thun nam - nữ thời trang cho đến đồ bộ thể thao, quần thể thao, quần shorts thời trang... Với phương châm ""Thời trang vì sức khỏe cộng đồng - Sức khỏe tạo nên hạnh phúc"", Thời trang Colo mong muốn được phục vụ khách hàng ngày càng nhiều hơn.</p></div>",235000,0,https://media-ak.static-adayroi.com/762_1100/90/h2d/h12/9336900059166.jpg,https://www.adayroi.com/ao-polo-colo-cl1606778-mau-trang-p-PRI1007996?offer=PRI1007996_QNH
6,Áo kiểu H:CONNECT cổ tròn tay ngắn họa tiết caro nhí trắng - xanh navy đính sticker,"<ul><li style=""text-align: justify;"">Chất liệu vải Cotton mềm mại, bền đẹp</li><li style=""text-align: justify;"">Kiểu dáng cổ tròn, thắt dây nơ sau, tay ngắn</li><li style=""text-align: justify;"">Dáng suông nhẹ, lai ngang, xẻ tà</li><li style=""text-align: justify;"">Đính sticker tạo điểm nhấn</li><li style=""text-align: justify;"">Đường may chắc chắn, tỉ mỉ</li><li style=""text-align: justify;"">Xuất xứ: Hàn Quốc</li></ul>","<p style=""text-align: justify;""><strong>Áo kiểu H:CONNECT cổ tròn tay ngắn họa tiết caro nhí trắng - xanh navy đính sticker​​​​ </strong>với thiết kế kiểu dáng và gam màu thời trang, mang đến cho bạn nữ sự trẻ trung, sành điệu cũng như dễ dàng phối cùng các trang phục. Bên cạnh đó, áo được may từ chất liệu vải Cotton mềm mại, đường may chắc chắn, tỉ mỉ không chỉ đem lại sự thoải mái và dễ chịu khi mặc mà còn giúp sản phẩm có độ bền cao.</p><p style=""text-align: justify;""><strong>Hướng dẫn bảo quản</strong>  </p><ul><li style=""text-align: justify;"">Giặt máy ở chế độ nhẹ, ưu tiên giặt tay, nước không quá 30 độ C</li><li style=""text-align: justify;"">Không tẩy</li><li style=""text-align: justify;"">Sấy khô ở nhiệt độ thấp</li><li style=""text-align: justify;"">Ủi ở nhiệt độ thấp</li><li style=""text-align: justify;"">Không phơi trực tiếp dưới ánh nắng mặt trời</li></ul><p style=""text-align: justify;""><strong>Thông tin thương hiệu</strong></p><p style=""text-align: justify;"">H:CONNECT là nhãn hàng thời trang hướng đến sự hiện đại, dành cho những ai mong muốn thể hiện cá tính riêng của bản thân, có lòng đam mê với thời trang và đặc biệt yêu thích phong cách thời trang Hàn Quốc. H:CONNECT là một nhãn hiệu đương đại toàn cầu với sự kết nối chặt chẽ giữa phong cách thời trang đặc sắc và hiện đại. H:CONNECT hứa hẹn sẽ mang đến những sản phẩm chất lượng cao, theo sát xu hướng thời trang thế giới, phù hợp nhu cầu thiết yếu và bán với mức giá phải chăng. H:CONNECT được các ngôi sao K-Pop hàng đầu ưa chuộng như Girl's Generation, U-EE, BoA, F(X) và Shinee; đồng thời, trở thành điểm đến cho các tín đồ thời trang yêu thích sự thanh lịch, hiện đại.</p>",299000,0,https://media-ak.static-adayroi.com/762_1100/90/h6e/h2e/16315333672990.jpg,https://www.adayroi.com/ao-kieu-h-connect-co-tron-tay-ngan-hoa-tiet-caro-nhi-trang-xanh-navy-dinh-sticker-p-1649734?offer=1649734_153106
7,Áo kiểu H:CONNECT cổ trụ tay lỡ bo ống thêu họa tiết màu đỏ nhạt,"<ul><li style=""text-align: justify;"">Chất liệu vải: Cotton</li><li style=""text-align: justify;"">Kiểu dáng suông, cổ trụ, tay lỡ bo ống thời thượng</li><li style=""text-align: justify;"">Thiết kế thêu họa tiết tinh tế</li><li style=""text-align: justify;"">Phối hàng nút cài dọc thân cách điệu</li><li style=""text-align: justify;"">Xuất xứ: Hàn Quốc</li></ul>","<p style=""text-align: justify;""><strong>Áo kiểu H:CONNECT cổ trụ tay lỡ bo ống thêu họa tiết màu đỏ nhạt</strong> với kiểu dáng suông, cổ trụ, tay lỡ bo ống thời thượng cùng thiết kế thêu họa tiết cách điệu mang đến cho phái đẹp phong cách thời trang nữ tính, trẻ trung và năng động. Áo sử dụng chất liệu vải cao cấp, mềm mại, thấm hút tốt mang lại sự thoải mái tối đa cho người mặc. Ngoài ra, áo có gam màu hiện đại dễ dàng phối với nhiều trang phục và phụ kiện để tạo phong cách, cá tính riêng.</p><p style=""text-align: justify;""><strong>Hướng dẫn bảo quản  </strong></p><ul><li style=""text-align: justify;"">Giặt máy ở chế độ nhẹ, ưu tiên giặt tay, nước không quá 30 độ C</li><li style=""text-align: justify;"">Không tẩy</li><li style=""text-align: justify;"">Sấy khô ở nhiệt độ thấp</li><li style=""text-align: justify;"">Ủi ở nhiệt độ thấp</li><li style=""text-align: justify;"">Không phơi trực tiếp dưới ánh nắng mặt trời</li></ul><p style=""text-align: justify;""><strong>Thông tin thương hiệu</strong></p><p style=""text-align: justify;"">H:CONNECT là nhãn hàng thời trang hướng đến sự hiện đại, dành cho những ai mong muốn thể hiện cá tính riêng của bản thân, có lòng đam mê với thời trang và đặc biệt yêu thích phong cách thời trang Hàn Quốc. H:CONNECT là một nhãn hiệu đương đại toàn cầu với sự kết nối chặt chẽ giữa phong cách thời trang đặc sắc và hiện đại. H:CONNECT hứa hẹn sẽ mang đến những sản phẩm chất lượng cao, theo sát xu hướng thời trang thế giới, phù hợp nhu cầu thiết yếu và bán với mức giá phải chăng. H:CONNECT được các ngôi sao K-Pop hàng đầu ưa chuộng như Girl's Generation, U-EE, BoA, F(X) và Shinee; đồng thời, trở thành điểm đến cho các tín đồ thời trang yêu thích sự thanh lịch, hiện đại.</p>",299000,0,https://media-ak.static-adayroi.com/762_1100/90/hf0/hab/16316493987870.jpg,https://www.adayroi.com/ao-kieu-h-connect-co-tru-tay-lo-bo-ong-theu-hoa-tiet-mau-do-nhat-p-1652645?offer=1652645_153106
8,Áo giữ nhiệt Vicci màu xanh tím than,"<ul><li>Được làm từ sợi vải đặc biệt, có khả năng giữ nhiệt tốt </li><li>Bề mặt vải mềm, không bai dão </li><li>Thiết kế cổ tròn, tay dài </li><li>Xuất xứ: Việt Nam </li><li>Size người mẫu mặc: M. Số đo người mẫu: 82 - 61 - 90 - 176 (cm) </li></ul>","<p><strong>Áo giữ nhiệt Vicci màu xanh tím than</strong> được may từ sợi vải đặc biệt có khả năng chuyển đổi hơi nước thành năng lượng nhiệt, tầng không khí giữa các sợi vải giúp nhiệt không bị thoát ra ngoài, giữ ấm cơ thể tốt, không bai dão khi giặt. Sản phẩm được thiết kế đơn giản, đường chỉ may tỉ mỉ, tinh tế, bề mặt vải êm mềm mang đến cho bạn cảm giác thoải mái tối đa.</p><p style=""text-align: center;""><img data-src=""https://cdn02.static-adayroi.com/0/2017/10/24/1508815235682_2820135.jpg""/></p><p><strong>Hướng dẫn sử dụng</strong></p><ul><li>Giặt ở nhiệt độ thường</li><li>Tẩy thuốc không chứa Clo</li><li>Phơi thường không sấy, không rũ vải</li><li>Sấy thường ở nhiệt độ thấp</li><li>Ủi thường ở nhiệt độ thấp (110 độ C)</li></ul><p><strong>Thông tin thương hiệu</strong></p><p><strong>Vicci</strong> là thương hiệu thời trang chuyên thiết kế và sản xuất các sản phẩm thời trang nam nữ. Với chất lượng cao cùng mẫu mã đa dạng, thời trang <strong>Vicci </strong>đang ngày càng có chỗ đứng vững chắc trên thị thường Việt Nam. <strong>Vicci</strong> cam kết không ngừng sáng tạo, đi trước đón đầu, đáp ứng nhu cầu thị trường và làm hài lòng khách hàng.</p>",169000,89000,https://media-ak.static-adayroi.com/762_1100/90/ha7/hf2/13157677105182.jpg,https://www.adayroi.com/ao-giu-nhiet-vicci-mau-xanh-tim-than-p-PRI1299321?offer=PRI1299321_M6J
9,Áo kiểu Mango 21020646 tay lửng màu trắng ngà,"<ul><li>Thành phần vải: 100% Polyester</li><li>Kiểu dáng cổ tròn, tay lửng thời trang</li><li>Màu trắng ngà trẻ trung, dễ mix đồ</li><li>Xuất xứ: Việt Nam, Ấn Độ, Cambodia,... (Xuất xứ khác nhau tùy theo từng lô hàng)</li></ul>","<p><strong>Áo kiểu Mango 21020646 tay lửng màu trắng ngà </strong>sở hữu thiết kế đơn giản với kiểu áo tay lửng, cổ tròn, màu trắng ngà dễ dàng mix với các trang phục, phụ kiện mỗi khi xuống phố, hẹn hò cùng bạn bè. <strong>Mango </strong>cũng khá chú trọng đến chất lượng, sao cho sản phẩm vừa có form chuẩn, vừa cho độ bền cao.</p><p><strong>Hướng dẫn bảo quản</strong></p><ul><li>Giặt máy ở nhiệt độ tối đa 30 độ C</li><li>Không được tẩy</li><li>Ủi ở nhiệt độ tối đa 110 độ C</li><li>Không được giặt khô</li><li>Không được sấy khô</li></ul><p><strong>Thông tin thương hiệu</strong></p><p>Thương hiệu Mango được hai anh em Isak Andic và Nahman Andic thành lập vào năm 1984 với cửa hàng đầu tiên đặt tại Barcelona’s Paseo de Gracia, Tây Ban Nha. Năm 1992, Mango có 100 cửa hiệu tại Tây Ban Nha và khai trương 2 cửa hiệu đầu tiên tại Bồ Đào Nha. Năm 1995, thương hiệu lần đầu tiên ra mắt website online và hệ thống bán quần áo trực tuyến. Đến năm 1997, Mango có cửa hàng tại kinh đô thời trang Paris, Pháp. Hiện tại, Mango có tổng cộng 12,200 nhân viên với hơn 2000 cửa hiệu trên toàn thế giới. Chính thức du nhập vào Việt Nam năm 2004, Mango nhanh chóng mang đến làn gió mới với xu hướng thời trang năng động, hiện đại và cá tính. Đây là thương hiệu tầm trung rất được yêu thích. Ngoài quần áo, giày dép, nước hoa… Mango còn phát triển dòng sản phẩm phụ kiện thời trang như túi xách, ví, kính mát, đồng hồ…</p>",299000,0,https://media-ak.static-adayroi.com/762_1100/90/images/h6c/h7b/15277103808542.jpg,https://www.adayroi.com/ao-kieu-mango-21020646-tay-lung-mau-trang-nga-p-244033?offer=244033_SNG
10,Áo kiểu Mango 11035720 cổ tròn tay cánh dơi màu kem,"<ul><li>Thành phần vải: 100% Viscose</li><li>Form dáng vừa vặn, cổ tròn, tay cánh dơi thời trang</li><li>Gam màu hiện đại dễ dàng phối với nhiều trang phục và phụ kiện</li><li>Đường chỉ may tỉ mỉ, chắc chắn</li><li>100% Hàng chính hãng, sản xuất tại nước thứ 3</li></ul>","<p><strong>Áo kiểu Mango 11035720 cổ tròn tay cánh dơi màu kem </strong>với kiểu dáng áo cổ tròn, tay cánh dơi thời thượng cùng gam màu hiện đại cho phái đẹp dễ dàng kết hợp với nhiều trang phục và phụ kiện để có phong cách thời trang nữ tính, trẻ trung. Đặc biệt, <strong>áo kiểu Mango</strong> sử dụng chất liệu cao cấp, thoáng mát, thấm hút mồ hôi tốt mang lại cảm giác thoải mái, tự tin và dễ chịu.</p><p><strong>Hướng dẫn bảo quản</strong></p><ul><li>Giặt máy ở nhiệt độ tối đa 30 độ C </li><li>Không được tẩy </li><li>Ủi ở nhiệt độ tối đa 110 độ C </li><li>Được giặt khô </li><li>Không được sấy khô </li></ul><p><strong>Thông tin thương hiệu</strong></p><p>Thương hiệu Mango được hai anh em Isak Andic và Nahman Andic thành lập vào năm 1984 với cửa hàng đầu tiên đặt tại Barcelona’s Paseo de Gracia, Tây Ban Nha. Năm 1992, Mango có 100 cửa hiệu tại Tây Ban Nha và khai trương 2 cửa hiệu đầu tiên tại Bồ Đào Nha. Năm 1995, thương hiệu lần đầu tiên ra mắt website online và hệ thống bán quần áo trực tuyến. Đến năm 1997, Mango có cửa hàng tại kinh đô thời trang Paris, Pháp. Hiện tại, Mango có tổng cộng 12,200 nhân viên với hơn 2000 cửa hiệu trên toàn thế giới. Chính thức du nhập vào Việt Nam năm 2004, Mango nhanh chóng mang đến làn gió mới với xu hướng thời trang năng động, hiện đại và cá tính. Đây là thương hiệu tầm trung rất được yêu thích. Ngoài quần áo, giày dép, nước hoa… Mango còn phát triển dòng sản phẩm phụ kiện thời trang như túi xách, ví, kính mát, đồng hồ…</p>",299000,0,https://media-ak.static-adayroi.com/762_1100/90/h11/h95/13155986669598.jpg,https://www.adayroi.com/ao-kieu-mango-11035720-co-tron-tay-canh-doi-mau-kem-p-PRI1296509?offer=PRI1296509_SNG
